,Sentence,Text,Section,Book
0,Rashḥ-i-‘Amá (The Clouds of the Realms Above),Rashḥ-i-‘Amá (The Clouds of the Realms Above),title,Rashḥ-i-‘Amá
1,’Tis from Our anthem that the mysteries of faith are raining down,’Tis from Our anthem that the mysteries of faith are raining down.,P1,Rashḥ-i-‘Amá
2,This sweetly scented breeze from Our curling locks is raining down,This sweetly scented breeze from Our curling locks is raining down.,P2,Rashḥ-i-‘Amá
3,Behold that mystic truth which from His Countenance is raining down,Behold that mystic truth which from His Countenance is raining down.,P3,Rashḥ-i-‘Amá
4,"This precious, rare bestowal from Our rapture is raining down","This precious, rare bestowal from Our rapture is raining down.",P4,Rashḥ-i-‘Amá
5,From out this treasure trove the pearls of faithfulness are raining down,From out this treasure trove the pearls of faithfulness are raining down.,P5,Rashḥ-i-‘Amá
6,This subtle music from the ringing tones of Lordship is raining down,This subtle music from the ringing tones of Lordship is raining down.,P6,Rashḥ-i-‘Amá
7,Both at a single breath are from the firmament now raining down,Both at a single breath are from the firmament now raining down.,P7,Rashḥ-i-‘Amá
8,The Age of “He is He” from out Our flowing cup is raining down,The Age of “He is He” from out Our flowing cup is raining down.,P8,Rashḥ-i-‘Amá
9,This cup of honeyed nectar from Our ruby lips is raining down,This cup of honeyed nectar from Our ruby lips is raining down.,P9,Rashḥ-i-‘Amá
10,This wondrous message from the melody of Ṭá’ is raining down,This wondrous message from the melody of Ṭá’ is raining down.,P10,Rashḥ-i-‘Amá
11,"Which, merged into a single song, in God’s own voice is raining down","Which, merged into a single song, in God’s own voice is raining down.",P11,Rashḥ-i-‘Amá
12,Behold the blessings of the heart that from His throne are raining down,Behold the blessings of the heart that from His throne are raining down.,P12,Rashḥ-i-‘Amá
13,Behold the glorious hymns that in the purest light are raining down,Behold the glorious hymns that in the purest light are raining down.,P13,Rashḥ-i-‘Amá
14,Behold the sacred rhythms that from Our hand are raining down,Behold the sacred rhythms that from Our hand are raining down.,P14,Rashḥ-i-‘Amá
15,Behold the grace upon the world from Our own presence raining down,Behold the grace upon the world from Our own presence raining down.,P15,Rashḥ-i-‘Amá
16,Behold the crystal draught that from Our brimming cup is raining down,Behold the crystal draught that from Our brimming cup is raining down.,P16,Rashḥ-i-‘Amá
17,Behold the heart of Sinai—from Our hand all raining down,Behold the heart of Sinai—from Our hand all raining down.,P17,Rashḥ-i-‘Amá
18,Behold the bliss that from His presence in your midst is raining down,Behold the bliss that from His presence in your midst is raining down.,P18,Rashḥ-i-‘Amá
19,Behold the Lordly grace that from Our Pen is raining down,Behold the Lordly grace that from Our Pen is raining down.,P19,Rashḥ-i-‘Amá
20,"The trill of songbirds this, from Our fleeting Wellspring raining down","The trill of songbirds this, from Our fleeting Wellspring raining down.",P20,Rashḥ-i-‘Amá
